tempo_contrato,valor_mensal,reclamacoes,cancelou,nota_satisfacao,chamados_suporte
17,87.49,4,1,4,2
8,78.57,2,0,4,3
35,136.86,0,0,5,2
35,72.36,1,0,5,0
33,146.32,1,0,5,1
5,51.22,2,1,5,3
42,146.99,2,0,5,0
39,54.32,5,1,5,1
41,139.11,0,0,5,2
28,102.77,1,0,4,1
7,149.3,1,0,5,1
9,57.38,1,0,5,0
8,105.39,0,0,5,1
12,146.93,1,0,4,1
34,102.31,2,0,5,1
33,112.94,2,0,5,1
23,119.57,2,0,5,0
24,95.45,6,1,2,7
37,112.76,3,1,4,2
35,108.43,0,0,5,0
44,140.12,2,0,5,3
40,54.54,1,0,4,1
22,78.1,2,0,5,3
27,145.04,3,1,4,2
35,139.03,1,0,5,1
1,95.57,2,1,5,1
35,112.01,3,1,5,2
37,77.74,3,1,5,2
47,68.81,2,0,4,2
14,96.37,2,0,5,1
3,85.34,1,1,4,1
1,108.37,0,1,4,0
5,57.77,1,1,4,1
26,147.44,1,0,4,1
14,148.62,4,1,5,3
39,119.82,1,0,5,0
27,103.61,0,0,4,2
9,80.95,1,0,5,1
15,131.38,3,1,4,3
15,118.47,2,0,5,3
26,66.26,0,0,4,0
42,141.09,2,0,4,0
13,132.25,0,0,5,0
32,144.98,2,0,4,0
39,122.57,1,0,5,3
32,111.34,2,0,5,0
4,91.82,2,1,5,2
30,143.27,3,1,5,1
37,136.61,0,0,5,2
23,54.52,0,0,5,2
39,52.64,2,0,5,0
45,87.65,2,0,4,2
15,131.06,5,1,3,3
43,148.73,0,0,4,1
29,65.04,0,0,5,1
36,109.41,3,1,4,0
13,88.09,0,0,5,2
32,146.99,0,0,5,0
7,134.21,2,0,5,1
22,133.83,1,0,5,1
28,96.87,1,0,4,1
2,91.48,2,1,5,1
42,77.34,0,0,4,1
45,55.64,0,0,5,1
6,136.47,1,0,4,2
28,131.29,1,0,5,1
28,149.97,3,1,4,2
44,149.66,1,0,5,1
44,105.54,2,0,5,2
20,126.9,2,0,5,1
30,144.48,1,0,5,1
11,134.96,1,0,4,2
28,74.73,0,0,5,1
25,95.05,1,0,5,1
39,62.92,0,0,4,1
33,145.41,1,0,5,0
1,110.62,3,1,5,4
27,72.86,0,0,5,2
13,117.17,0,0,5,2
41,111.81,2,0,5,0
3,85.82,1,1,5,1
39,61.36,4,1,5,2
6,117.16,2,0,4,3
8,102.03,3,1,3,4
27,127.23,3,1,5,3
9,102.02,0,0,4,2
37,135.22,1,0,5,0
33,105.19,1,0,5,1
42,106.09,2,0,5,1
44,137.67,3,1,5,0
24,90.35,1,0,5,1
15,63.4,3,1,4,3
32,52.88,1,0,5,0
32,125.51,0,0,5,2
24,112.03,1,0,5,1
41,120.41,3,1,5,0
12,71.3,1,0,5,1
39,63.64,1,0,5,0
2,51.45,2,1,4,1
3,85.06,4,1,3,2
37,108.99,1,0,5,0
17,89.22,1,0,5,0
2,93.75,3,1,5,4
2,140.42,2,1,5,4
28,84.83,2,0,4,0
23,101.4,2,0,5,2
37,128.37,2,0,4,2
32,89.65,1,0,5,2
33,112.21,0,0,5,1
1,136.24,2,1,5,2
19,144.95,1,0,3,1
2,64.71,1,1,3,1
44,142.66,2,0,5,2
26,99.21,0,0,5,0
32,75.82,0,0,5,2
6,95.91,1,0,5,1
32,148.0,2,0,4,0
4,99.26,2,1,5,1
11,82.88,0,0,5,0
17,113.34,0,0,5,2
38,74.01,3,1,4,1
24,57.59,3,1,5,2
5,62.89,0,1,4,2
34,62.8,1,0,5,1
6,65.19,2,0,4,2
22,63.88,0,0,5,2
11,114.09,2,0,5,4
16,68.19,1,0,5,2
33,84.57,0,0,5,1
9,139.68,2,0,4,3
6,97.4,4,1,4,5
16,116.76,2,0,4,5
29,67.23,0,0,5,1
3,69.23,1,1,5,3
20,54.09,0,0,5,0
36,66.89,2,0,5,1
19,77.86,3,1,5,2
26,67.7,4,1,5,0
3,58.87,3,1,5,5
19,62.06,3,1,5,1
20,96.08,2,0,5,0
32,70.63,0,0,5,1
7,86.43,2,0,3,4
41,100.34,4,1,4,3
33,119.04,3,1,5,2
40,53.93,4,1,5,3
39,129.94,1,0,4,0
18,112.79,1,0,4,1
40,58.18,1,0,5,2
1,137.36,2,1,3,1
11,142.09,1,0,4,0
28,56.11,1,0,4,0
25,77.69,0,0,5,3
23,130.62,3,1,4,0
31,124.83,2,0,5,0
30,68.45,1,0,5,2
42,70.93,1,0,5,0
35,87.05,2,0,5,0
7,98.45,5,1,3,1
16,111.83,0,0,5,0
26,86.89,0,0,4,3
2,96.25,2,1,3,1
1,124.75,1,1,4,2
12,53.67,2,0,4,1
5,75.24,1,1,3,0
37,121.33,1,0,4,0
32,139.52,2,0,5,2
9,101.17,2,0,3,2
41,103.21,1,0,4,1
35,60.72,0,0,5,1
19,94.74,1,0,4,1
16,103.26,2,0,5,1
3,74.25,1,1,4,3
20,76.92,3,1,5,4
24,87.73,0,0,5,1
33,52.01,5,1,4,2
24,82.21,0,0,5,1
11,71.14,2,0,5,1
8,82.75,2,0,5,2
36,61.98,1,0,5,1
38,139.05,3,1,5,1
40,109.36,2,0,4,1
20,117.91,0,0,5,0
35,128.92,2,0,5,2
25,99.84,0,0,5,1
35,58.69,0,0,5,2
25,103.71,2,0,5,0
29,108.68,1,0,5,0
18,124.54,3,1,3,3
46,93.17,2,0,5,1
18,62.76,3,1,5,2
2,78.38,0,1,5,1
35,86.31,2,0,4,0
16,114.59,0,0,5,1
41,107.08,0,0,4,0
36,85.61,1,0,5,0
33,148.65,1,0,5,1
4,110.58,1,1,4,0
33,73.72,1,0,5,1
14,60.18,1,0,5,3
21,65.29,3,1,4,1
20,74.6,1,0,5,0
8,66.07,4,1,5,4
7,68.66,1,0,5,4
3,78.51,2,1,4,2
17,67.34,1,0,5,2
33,139.68,1,0,5,2
12,58.02,2,0,5,3
22,102.45,3,1,5,5
22,91.04,1,0,5,2
46,148.24,4,1,5,3
30,61.2,1,0,5,1
38,89.79,1,0,5,0
38,146.95,3,1,4,3
45,136.55,1,0,5,0
8,131.71,1,0,4,2
27,75.79,2,0,4,1
27,67.09,1,0,5,0
34,116.86,3,1,5,5
21,142.94,2,0,3,2
30,105.68,1,0,5,0
33,107.16,4,1,4,1
28,78.0,2,0,5,1
47,126.95,1,0,5,1
33,68.7,3,1,5,1
5,82.37,1,1,4,0
19,92.54,4,1,4,3
4,100.76,0,1,5,0
35,74.24,1,0,5,2
17,61.48,0,0,5,1
44,111.06,1,0,4,0
28,78.86,0,0,5,0
30,108.12,0,0,4,0
29,65.44,3,1,5,2
46,98.11,1,0,5,0
6,103.26,1,0,5,0
35,55.18,1,0,5,1
41,83.66,2,0,5,0
37,63.44,0,0,5,1
24,56.34,2,0,5,1
29,149.0,1,0,4,0
46,82.24,2,0,5,0
31,130.99,0,0,5,4
35,75.46,0,0,5,0
33,118.15,1,0,5,2
21,126.02,1,0,5,0
32,109.56,4,1,5,1
23,97.16,2,0,5,0
33,91.18,0,0,5,1
3,84.89,2,1,5,3
18,142.95,1,0,5,1
25,133.06,3,1,4,1
42,146.5,1,0,4,2
31,62.43,0,0,5,1
3,123.09,1,1,5,2
40,143.83,0,0,5,2
46,68.12,1,0,4,0
24,56.65,0,0,5,0
32,124.11,2,0,4,0
47,107.45,2,0,5,0
22,134.18,2,0,4,2
23,63.98,0,0,5,0
2,129.53,1,1,5,2
27,70.16,2,0,5,1
42,66.37,1,0,5,0
2,66.43,5,1,2,4
26,131.46,2,0,5,1
17,116.52,1,0,5,0
40,102.31,3,1,5,0
33,85.88,3,1,5,0
9,137.72,1,0,5,0
43,89.24,3,1,5,3
39,131.66,0,0,5,0
29,93.91,1,0,5,1
42,87.69,0,0,5,0
26,96.27,0,0,5,1
35,80.14,3,1,4,3
25,124.76,2,0,5,1
24,100.27,0,0,5,1
13,73.22,0,0,5,1
7,139.96,0,0,5,1
36,88.39,2,0,5,4
45,104.36,0,0,5,1
20,140.65,0,0,5,1
1,112.42,2,1,3,2
8,61.69,2,0,5,0
46,143.98,0,0,4,1
16,112.77,3,1,4,2
14,83.49,0,0,4,1
12,63.93,3,1,4,1
23,129.4,3,1,5,3
15,112.01,1,0,5,2
28,103.35,2,0,5,0
34,139.39,1,0,5,1
2,128.86,3,1,4,5
32,65.17,0,0,5,4
23,81.17,0,0,5,0
22,74.85,2,0,5,1
25,124.39,4,1,3,3
22,53.35,3,1,5,4
22,106.99,2,0,5,2
42,126.25,3,1,5,1
6,137.68,0,0,5,2
15,84.21,0,0,4,0
43,132.13,2,0,5,0
37,61.06,3,1,5,1
33,134.65,2,0,4,1
8,62.75,3,1,3,3
44,89.73,1,0,5,0
44,129.73,1,0,5,0
5,64.99,1,1,5,0
39,72.93,1,0,5,1
4,122.23,2,1,4,3
6,122.0,3,1,5,2
45,114.11,2,0,5,3
32,119.39,0,0,5,0
30,104.27,1,0,4,0
47,75.18,1,0,5,1
35,84.57,2,0,5,1
40,68.16,0,0,5,0
16,140.85,3,1,3,0
13,108.34,3,1,5,4
42,90.09,1,0,5,0
30,96.2,1,0,5,2
19,144.73,1,0,4,4
17,65.34,1,0,5,2
19,108.62,2,0,4,1
28,100.59,0,0,5,0
26,111.15,2,0,4,2
37,51.81,3,1,5,1
26,137.21,2,0,5,0
23,143.21,0,0,5,0
9,106.51,2,0,3,1
12,119.67,2,0,5,1
1,142.25,0,1,5,1
1,120.72,1,1,5,2
47,65.25,0,0,5,1
34,107.63,0,0,5,0
32,110.67,5,1,3,4
25,92.41,2,0,4,1
40,123.64,2,0,5,1
45,143.44,2,0,4,0
1,142.56,1,1,5,2
16,95.08,0,0,4,0
39,61.32,0,0,3,0
5,148.48,2,1,4,5
22,133.89,2,0,4,1
29,62.47,3,1,4,3
3,142.08,2,1,2,3
12,136.99,0,0,4,3
26,101.88,0,0,5,1
16,109.13,2,0,5,1
37,89.9,2,0,5,1
22,55.48,1,0,5,2
29,83.52,3,1,5,0
14,130.29,0,0,3,0
28,50.46,1,0,5,1
5,83.35,2,1,5,2
47,89.82,1,0,5,0
30,103.74,2,0,4,3
46,141.99,1,0,5,0
5,84.63,0,1,5,1
12,84.7,1,0,5,1
16,123.75,1,0,5,3
26,95.22,2,0,4,0
26,72.46,4,1,5,0
21,95.24,1,0,5,0
39,64.09,2,0,4,2
36,67.64,1,0,5,0
33,99.84,3,1,3,2
30,91.89,1,0,5,0
37,141.48,0,0,5,2
23,86.24,1,0,4,0
10,108.06,3,1,4,5
5,113.23,2,1,5,7
36,51.31,2,0,5,0
34,116.35,1,0,4,0
31,67.8,0,0,5,2
10,146.11,4,1,3,2
19,64.87,2,0,5,1
32,91.46,2,0,5,1
1,58.53,0,1,5,1
5,149.69,1,1,5,0
45,100.22,1,0,5,1
4,109.54,2,1,5,2
16,56.71,0,0,5,1
24,125.0,3,1,5,1
16,70.99,3,1,4,2
2,139.81,0,1,5,1
28,70.51,3,1,5,1
32,69.07,0,0,5,0
27,53.65,2,0,4,2
20,97.21,2,0,4,1
24,106.48,1,0,4,3
12,56.57,4,1,4,1
35,127.55,2,0,4,1
33,95.33,2,0,5,1
10,83.42,1,0,3,2
13,101.43,1,0,5,4
2,118.66,3,0,4,3
17,65.82,0,0,5,2
47,102.11,2,0,5,2
10,119.18,0,0,5,1
9,59.15,1,0,5,1
38,127.88,1,0,5,0
25,114.88,1,0,5,3
33,86.54,0,0,4,0
4,130.06,1,0,4,0
18,109.83,0,0,5,2
23,81.62,2,0,5,3
35,84.15,1,0,5,0
30,127.25,2,1,5,2
13,67.3,2,0,5,4
15,125.21,0,0,4,1
37,148.84,0,1,5,1
37,106.68,2,0,5,0
20,144.45,1,0,4,3
22,92.69,3,0,5,1
22,89.53,1,0,5,2
35,149.35,2,0,5,1
25,96.01,3,0,4,0
36,64.51,0,0,5,0
7,53.13,1,0,5,1
31,109.59,1,0,5,3
46,147.48,3,0,5,1
33,70.79,2,0,5,1
28,62.72,1,0,4,0
42,116.05,0,0,5,0
4,120.19,2,0,5,1
32,144.09,2,0,5,2
33,122.63,6,0,3,3
6,101.33,0,0,5,0
25,140.12,1,0,5,1
37,76.46,2,0,5,0
19,51.36,0,0,5,0
1,149.09,2,1,4,1
47,58.27,3,0,5,0
3,146.87,1,0,4,2
5,109.02,4,0,3,6
23,70.5,0,0,5,0
19,138.41,1,0,5,2
43,127.86,0,0,5,0
12,127.64,4,0,4,4
9,80.51,1,0,5,2
12,91.67,1,0,4,2
22,143.83,1,0,4,3
48,84.8,1,0,5,0
1,51.06,1,0,5,2
23,143.14,1,0,5,0
14,111.51,2,1,5,2
47,119.2,3,0,5,1
20,140.5,3,0,5,4
19,132.52,2,0,5,1
48,54.59,0,0,5,0
15,133.9,2,0,5,0
34,148.38,2,0,4,0
26,50.5,0,0,5,0
32,142.83,0,0,5,0
11,94.08,0,0,2,2
31,143.52,4,0,5,3
37,122.86,1,0,5,2
23,55.78,0,0,5,0
23,133.41,2,0,5,1
6,60.41,3,0,4,4
21,103.79,0,0,3,1
21,98.78,4,0,3,1
9,139.61,0,0,5,3
6,115.02,0,0,5,0
6,113.34,1,0,4,1
33,69.09,1,0,5,3
42,144.05,0,0,5,1
24,100.11,0,0,5,2
8,115.39,1,0,4,1
43,138.69,1,0,5,0
45,95.77,3,0,4,1
9,117.35,2,0,5,1
1,59.98,1,0,5,2
13,92.51,1,0,4,2
1,68.01,0,0,4,2
5,81.95,1,0,5,1
7,56.01,2,0,3,1
25,130.01,3,0,5,2
3,136.62,3,0,4,3
33,100.27,2,0,4,1
32,89.25,2,0,5,1
43,81.24,2,0,5,0
26,114.44,3,1,5,2
45,85.85,1,0,5,0
43,106.71,1,0,4,0
17,96.56,2,0,4,1
48,140.75,2,0,4,2
36,128.32,2,0,5,1
9,146.02,2,0,4,2
6,68.12,0,0,5,1
1,71.39,3,0,5,2
37,114.6,3,0,5,2
30,148.66,1,0,5,0
5,126.45,2,0,3,7
6,54.6,1,0,3,1
1,105.27,1,0,5,1
38,55.45,1,0,5,0
26,73.84,0,0,5,2
3,144.32,1,0,5,3
1,109.5,3,1,5,3
28,131.53,3,0,5,3
24,146.69,1,0,5,2
35,131.59,1,0,5,1
46,138.39,2,0,5,2
21,141.55,0,0,5,0
44,65.05,3,0,5,0
19,76.35,0,0,5,0
4,65.62,2,0,4,1
41,55.09,1,0,4,0
44,117.29,1,0,5,3
41,145.28,0,0,5,1
13,76.24,1,0,5,2
37,129.69,0,0,5,0
37,128.92,1,0,5,1
32,132.23,2,1,5,2
28,118.29,1,0,4,0
22,88.27,3,0,5,3
8,69.7,0,0,4,0
43,145.43,3,0,5,3
29,102.28,2,0,5,0
26,50.76,1,0,4,0
27,86.0,0,0,5,1
40,101.09,3,0,5,0
17,114.39,0,0,5,0
10,121.87,1,0,4,2
33,77.98,1,0,5,0
25,124.26,4,0,4,0
13,78.01,3,0,3,2
30,143.38,2,1,5,0
25,85.48,0,0,5,1
16,78.37,0,0,4,0
23,117.97,1,0,5,0
23,105.22,3,1,5,1
44,86.36,0,0,4,0
29,73.88,0,0,4,0
30,92.57,0,0,4,0
42,57.9,1,0,5,1
6,141.79,1,0,3,3
30,62.8,0,0,5,1
41,126.07,0,0,5,0
30,104.28,1,0,5,0
47,115.89,1,0,4,1
17,76.37,1,0,5,2
3,81.58,2,0,4,1
16,69.27,2,0,4,2
6,122.79,2,0,4,2
3,87.33,3,0,4,7
43,100.98,1,0,5,0
19,127.96,0,0,5,1
7,78.74,1,1,5,1
47,107.49,0,0,5,0
41,74.62,0,0,5,0
17,62.09,0,0,5,1
5,111.23,1,0,5,3
42,95.97,1,0,4,0
25,62.77,0,1,5,0
41,125.45,2,0,4,0
11,56.31,2,0,5,1
22,110.47,0,0,5,0
11,61.45,3,0,4,1
6,73.36,1,1,5,1
4,87.09,0,0,4,2
6,50.15,0,0,5,0
43,60.55,1,0,4,0
17,90.25,1,0,4,1
28,131.96,4,1,3,4
42,85.97,1,0,5,1
20,66.46,2,0,4,1
7,60.08,0,0,5,1
40,131.71,3,0,4,3
30,125.82,1,0,5,1
37,75.97,2,0,4,1
12,66.26,2,0,5,2
47,55.2,0,0,5,0
21,108.9,2,0,5,3
14,114.72,2,0,5,1
9,69.68,2,0,5,2
5,107.03,1,0,5,3
9,70.13,3,0,4,5
36,82.41,1,0,3,1
2,114.08,3,0,4,3
45,145.21,0,0,5,0
16,78.36,1,0,5,0
6,126.13,1,0,4,2
43,58.53,2,0,5,0
23,64.87,2,0,5,2
27,115.68,2,0,4,1
48,121.51,2,0,5,2
40,134.56,1,0,4,1
12,97.08,0,0,5,0
44,68.62,1,0,5,1
18,114.57,1,0,4,2
6,67.35,1,1,5,0
20,116.33,3,0,5,2
6,122.72,0,1,5,0
22,146.27,2,1,5,1
44,82.81,4,0,5,0
16,129.96,1,0,5,2
40,87.58,0,0,5,0
45,73.14,2,0,5,1
16,119.99,2,0,5,0
17,58.31,3,0,5,1
33,118.65,5,1,3,2
17,133.23,0,0,5,2
28,99.12,2,0,4,2
43,57.56,3,0,5,1
41,115.49,1,0,5,1
31,62.43,1,0,4,0
45,101.68,4,0,5,2
20,138.6,1,0,4,2
17,141.7,2,0,5,4
14,140.72,0,0,5,6
22,113.64,1,0,5,0
37,122.11,4,0,4,2
10,88.55,0,0,5,1
10,115.0,0,0,4,1
48,95.44,4,1,5,0
29,139.83,1,0,4,2
25,76.8,2,0,5,1
5,56.58,0,0,5,0
4,117.46,2,1,5,0
41,109.96,1,0,5,3
7,90.46,1,0,5,1
13,127.39,0,0,5,1
47,98.69,2,0,5,0
9,112.84,1,0,5,3
47,135.34,0,0,4,0
4,51.09,1,0,5,1
1,55.73,0,0,3,2
27,61.26,3,0,5,1
16,107.5,1,0,5,0
28,133.87,1,0,5,3
47,110.5,1,0,5,1
17,88.97,2,0,4,2
1,121.63,4,1,4,4
2,134.54,0,0,4,1
46,68.9,5,0,5,1
20,130.06,2,1,5,2
48,97.16,1,0,5,1
20,72.01,1,0,5,2
4,63.2,0,0,4,1
40,52.71,1,0,5,1
3,54.9,3,1,5,3
24,51.75,2,0,4,1
25,52.03,2,0,5,1
26,73.85,4,0,4,3
4,129.99,1,0,4,3
31,136.8,1,0,5,4
39,57.94,2,0,4,0
21,88.25,4,0,5,1
34,79.25,2,0,4,3
12,136.31,2,0,4,1
13,132.69,2,0,4,1
9,146.74,3,1,5,0
30,113.8,1,0,5,0
33,124.57,5,0,4,9
14,66.7,1,0,5,1
47,93.15,4,0,4,2
36,93.95,2,0,5,2
45,94.02,1,0,5,1
22,99.44,1,0,4,2
37,107.76,3,0,5,2
47,84.64,1,0,5,1
18,67.48,2,0,5,4
7,106.49,2,0,5,3
48,136.37,0,0,5,1
34,60.61,0,0,5,1
48,135.55,1,0,5,0
37,69.23,3,0,4,0
8,110.38,1,0,5,0
31,132.37,1,0,4,0
7,81.01,2,0,5,1
23,85.25,0,0,5,1
10,134.84,1,0,5,2
27,86.29,1,0,4,1
12,125.33,1,0,4,1
25,83.53,2,1,5,1
3,100.9,2,0,4,1
16,117.88,2,0,5,2
41,119.48,4,0,4,2
37,51.51,2,0,5,0
37,99.51,2,0,4,1
28,120.84,4,1,5,4
2,132.53,1,0,5,1
38,141.08,3,0,5,2
2,123.56,1,0,5,1
13,93.32,3,0,5,0
40,92.29,3,0,5,1
19,73.08,1,0,5,0
11,61.87,2,0,5,2
43,69.99,3,0,5,0
48,63.74,0,0,5,1
37,80.99,1,0,5,0
22,64.78,3,1,3,0
46,96.35,3,0,3,0
20,113.4,1,0,5,2
41,122.87,3,0,4,3
3,147.07,1,0,3,2
32,92.84,0,0,5,1
2,115.17,2,0,4,4
29,98.14,3,0,5,4
38,65.14,1,0,5,0
28,138.08,2,0,5,0
30,128.42,1,0,5,1
15,96.52,3,0,4,2
2,80.05,0,0,5,2
19,78.02,2,0,5,2
14,70.92,3,0,5,1
17,78.06,4,1,5,1
27,69.12,1,0,5,0
45,91.46,2,0,5,1
11,139.45,2,0,3,1
6,74.93,1,0,5,2
10,58.54,1,0,5,1
24,144.65,1,0,5,1
6,132.89,3,0,4,6
10,138.82,1,0,5,3
4,79.34,1,0,5,2
11,148.19,1,0,5,0
11,95.65,1,0,5,2
15,125.11,0,0,5,1
29,85.25,0,0,5,2
9,139.23,2,0,4,4
7,69.93,1,0,5,2
43,141.63,3,1,4,2
14,132.03,3,0,3,4
12,83.51,1,0,3,1
12,145.29,1,0,5,3
48,61.37,1,0,5,0
37,58.51,2,0,5,0
37,138.75,6,1,4,3
45,94.57,2,0,5,1
44,140.12,1,0,4,0
28,134.87,1,0,4,5
28,133.18,1,1,5,0
12,100.65,0,0,4,1
6,136.81,1,1,5,3
45,60.15,1,0,4,0
20,113.63,2,0,5,1
30,95.2,1,0,5,1
17,141.82,0,0,4,1
41,143.84,1,1,5,0
26,53.5,0,0,5,0
39,76.19,3,0,3,2
16,109.4,0,0,5,0
48,55.88,0,0,5,1
3,109.38,3,0,5,1
4,90.56,2,0,5,5
42,68.44,1,0,5,0
19,86.68,1,0,5,2
26,85.7,0,0,5,0
27,149.98,3,1,5,3
3,94.02,2,1,4,1
40,58.08,4,0,5,1
43,144.6,1,0,5,0
34,65.48,1,0,5,3
17,74.46,1,0,4,1
9,80.02,2,0,5,3
36,78.42,1,0,4,0
35,119.58,0,0,5,1
35,126.18,2,0,5,0
38,146.12,0,0,5,1
46,120.55,1,0,5,0
31,63.24,2,0,5,1
41,115.06,1,0,5,0
40,149.43,1,0,5,0
3,104.36,0,0,5,1
40,145.28,4,0,3,2
24,114.48,2,0,5,3
25,94.07,2,0,5,2
27,146.76,6,0,3,4
11,101.86,2,0,4,2
13,149.37,0,0,5,1
35,53.08,3,0,5,1
40,134.22,3,0,5,3
43,73.88,4,0,5,2
37,131.07,2,0,5,1
43,53.12,2,0,5,2
35,75.03,2,0,5,2
33,57.6,1,0,5,0
9,70.01,1,0,4,0
19,88.96,0,0,5,0
13,145.14,1,0,5,2
32,108.43,2,0,5,0
16,96.72,2,1,4,2
9,50.74,0,0,5,0
28,136.75,3,0,5,2
28,141.55,4,1,5,0
3,105.58,0,0,5,0
32,117.8,1,0,5,1
4,100.54,2,0,5,1
30,133.12,0,0,5,1
39,103.63,1,0,5,0
20,140.0,1,0,4,1
48,92.16,0,0,5,2
8,149.52,0,0,5,0
29,113.25,2,1,5,0
25,105.65,0,0,4,1
43,98.65,1,0,4,1
28,107.16,0,0,5,2
46,99.25,2,0,5,2
40,136.92,0,0,4,3
4,148.89,0,0,5,1
33,89.45,1,0,5,0
44,55.96,1,0,5,2
45,148.48,2,0,4,4
44,97.66,2,0,4,2
7,85.25,0,0,5,0
16,149.15,0,0,5,1
29,89.94,1,0,4,0
23,137.12,2,0,5,2
31,143.13,0,0,5,0
24,144.44,4,0,2,0
37,57.05,1,0,5,1
26,117.7,2,0,5,2
39,57.45,4,0,5,1
38,51.45,1,0,5,1
37,133.24,0,0,4,1
3,129.69,2,0,4,1
38,97.81,1,0,4,0
8,55.16,1,0,5,2
47,99.8,1,0,5,1
2,70.08,1,0,5,1
2,130.96,1,0,5,2
3,121.75,3,0,4,7
45,135.1,4,0,5,1
48,113.58,2,0,5,0
43,58.43,2,0,4,1
22,123.69,2,0,5,2
39,72.47,5,1,4,3
22,84.06,1,0,5,0
16,108.32,4,0,3,6
43,137.76,2,0,4,2
32,92.5,2,0,5,0
9,61.1,1,0,5,0
38,79.16,1,0,5,0
26,118.47,1,1,5,0
19,123.56,2,0,4,1
20,141.92,0,0,5,1
18,109.2,1,0,5,1
44,113.38,5,1,4,3
13,65.43,0,0,5,1
12,136.47,2,0,5,2
12,80.88,1,0,4,3
33,137.48,0,0,5,0
40,135.68,5,0,4,1
43,116.07,2,0,5,1
1,66.49,1,0,5,0
11,67.03,1,0,4,0
3,102.86,1,0,5,2
7,145.16,1,0,4,4
40,87.67,3,0,5,2
43,127.63,0,0,5,0
37,128.18,0,0,5,0
45,128.84,0,0,5,0
42,144.13,1,0,5,0
31,115.67,1,0,5,0
1,124.3,1,0,5,1
47,101.71,0,0,5,1
45,136.39,1,0,5,0
6,141.74,1,0,5,4
4,134.83,4,1,3,3
13,70.74,2,0,5,3
39,121.59,1,0,5,1
25,103.11,1,0,5,1
26,88.46,1,0,5,0
26,54.32,3,0,5,1
13,58.06,2,0,5,1
14,132.1,1,1,5,1
26,58.81,0,0,5,2
7,92.94,1,0,4,1
24,79.67,0,0,5,0
18,112.15,3,0,4,0
4,51.12,2,0,5,0
20,78.55,1,0,5,1
47,131.97,3,0,5,0
10,142.28,3,0,3,6
4,135.67,1,0,4,2
23,64.83,2,0,5,0
31,107.56,1,0,5,2
47,64.84,4,0,5,2
45,84.92,1,0,5,2
24,146.58,3,0,5,1
19,135.19,2,0,5,2
13,71.37,3,0,4,0
7,91.09,1,0,4,1
